source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Inflam. DC,FBN1+ FIB,GAS6,AXL,0.00371865689723356,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
cDC2,Inflam. DC,LGALS9,PTPRC,0.00359222943457871,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
LC,APOE+ FIB,LGALS9,CD44,0.00357993368356248,0.0,LGALS9_CD44,LGALS9 - CD44,GALECTIN,Secreted Signaling,PMID: 25065622
COL11A1+ FIB,APOE+ FIB,FGF7,FGFR1,0.00357588906125807,0.0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
Inflam. DC,cDC2,LGALS9,P4HB,0.00351910623573321,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC2,Inflam. FIB,GAS6,AXL,0.00345823054697478,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
Inflam. DC,Inflam. FIB,GAS6,AXL,0.00344916234778884,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
LC,FBN1+ FIB,GAS6,AXL,0.00325803600973269,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
cDC2,cDC2,LGALS9,P4HB,0.00325302435021886,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
Inflam. TC,Inflam. DC,TNFSF14,TNFRSF14,0.00321570845116913,0.0,TNFSF14_TNFRSF14,TNFSF14 - TNFRSF14,LIGHT,Secreted Signaling,KEGG: hsa04060
cDC1,FBN1+ FIB,GAS6,AXL,0.00309051741075623,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
LC,Inflam. FIB,TNF,TNFRSF1A,0.00306134918206246,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
cDC2,LC,GAS6,AXL,0.00304564965613115,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
Inflam. DC,LC,GAS6,AXL,0.00303766003201751,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
LC,Inflam. FIB,GAS6,AXL,0.00302182183772859,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
Inflam. DC,Inflam. TC,LGALS9,P4HB,0.00301417079464283,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,FBN1+ FIB,LGALS9,P4HB,0.00298014221282163,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC1,APOE+ FIB,TNF,TNFRSF1A,0.00296350155653758,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
LC,Inflam. FIB,LGALS9,P4HB,0.00294589389752139,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC1,Inflam. FIB,GAS6,AXL,0.00286641374690092,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
Inflam. DC,Inflam. DC,LGALS9,P4HB,0.00285684464761183,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC2,Inflam. TC,LGALS9,P4HB,0.0027861606554675,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,Inflam. DC,LGALS9,PTPRC,0.00267162102599059,0.0,LGALS9_CD45,LGALS9 - CD45,GALECTIN,Secreted Signaling,PMID: 30120235
LC,LC,GAS6,AXL,0.00266116723557405,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
cDC2,Inflam. DC,LGALS9,P4HB,0.00264070408899713,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC1,LC,GAS6,AXL,0.00252426014711769,0.0,GAS6_AXL,GAS6 - AXL,GAS,Secreted Signaling,PMID: 27801848
LC,FBN1+ FIB,TNF,TNFRSF1A,0.00250565990087753,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
Inflam. TC,cDC2,TNFSF14,TNFRSF14,0.00245314164359709,0.0,TNFSF14_TNFRSF14,TNFSF14 - TNFRSF14,LIGHT,Secreted Signaling,KEGG: hsa04060
LC,cDC2,LGALS9,P4HB,0.00241913559564867,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
Inflam. DC,APOE+ FIB,LGALS9,P4HB,0.00237346991734295,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,LC,VEGFA,FLT1,0.00235482345702225,0.0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
Inflam. DC,cDC1,LGALS9,P4HB,0.00227117858450316,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,cDC2,CSF1,CSF1R,0.00222722777081558,0.0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
cDC2,APOE+ FIB,LGALS9,P4HB,0.00219381962577655,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
Inflam. TC,Inflam. FIB,TNF,TNFRSF1A,0.00214193084980458,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
cDC2,cDC1,LGALS9,P4HB,0.00209925453313571,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
Inflam. DC,cDC1,LGALS9,HAVCR2,0.00208892539849416,0.0,LGALS9_HAVCR2,LGALS9 - HAVCR2,GALECTIN,Secreted Signaling,PMID: 27192565
LC,Inflam. TC,LGALS9,P4HB,0.00207170021508749,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,LC,CSF1,CSF1R,0.00199855649026404,0.0,CSF1_CSF1R,CSF1 - CSF1R,CSF,Secreted Signaling,KEGG: hsa04060
LC,Inflam. DC,LGALS9,P4HB,0.00196346990928512,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
LC,APOE+ FIB,TNF,TNFRSF1A,0.00195205284674006,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
cDC2,cDC1,LGALS9,HAVCR2,0.00193077088088522,0.0,LGALS9_HAVCR2,LGALS9 - HAVCR2,GALECTIN,Secreted Signaling,PMID: 27192565
Inflam. TC,FBN1+ FIB,TNF,TNFRSF1A,0.0017528389044062,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
LC,APOE+ FIB,LGALS9,P4HB,0.00163100588063997,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
Inflam. DC,LC,LGALS9,HAVCR2,0.00162608647611369,0.0,LGALS9_HAVCR2,LGALS9 - HAVCR2,GALECTIN,Secreted Signaling,PMID: 27192565
LC,cDC1,LGALS9,P4HB,0.00156066305689344,0.0,LGALS9_P4HB,LGALS9 - P4HB,GALECTIN,Secreted Signaling,PMID:21670307;uniprot
cDC2,LC,LGALS9,HAVCR2,0.00150292115550141,0.0,LGALS9_HAVCR2,LGALS9 - HAVCR2,GALECTIN,Secreted Signaling,PMID: 27192565
LC,cDC1,LGALS9,HAVCR2,0.00143534393515132,0.0,LGALS9_HAVCR2,LGALS9 - HAVCR2,GALECTIN,Secreted Signaling,PMID: 27192565
Inflam. TC,APOE+ FIB,TNF,TNFRSF1A,0.00136533442399964,0.0,TNF_TNFRSF1A,TNF - TNFRSF1A,TNF,Secreted Signaling,KEGG: hsa04060
LC,LC,LGALS9,HAVCR2,0.00111715560207857,0.0,LGALS9_HAVCR2,LGALS9 - HAVCR2,GALECTIN,Secreted Signaling,PMID: 27192565
